,year,event_date,event_type,actor1,country,latitude,longitude,fatalities,location,data,month,iso
29,2019,22 July 2019,Protests,Protesters (Mauritania),Mauritania,18.1194,-16.0406,0,Nouakchott,2019-07-22,7,MRT
30,2019,22 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-22,7,NGA
31,2019,22 July 2019,Protests,Protesters (Nigeria),Nigeria,6.6096,3.3566,0,Alausa,2019-07-22,7,NGA
32,2019,22 July 2019,Battles,IM: Islamic Movement,Nigeria,9.0833,7.5333,8,Abuja,2019-07-22,7,NGA
33,2019,22 July 2019,Battles,Pirates (Nigeria),Nigeria,4.8672,5.8019,2,Azagbene-Zion,2019-07-22,7,NGA
34,2019,22 July 2019,Battles,Unidentified Armed Group (Nigeria),Nigeria,11.0154,6.7804,2,Birnin-Gwari,2019-07-22,7,NGA
35,2019,22 July 2019,Strategic developments,Unidentified Armed Group (Nigeria),Nigeria,12.1628,6.6614,0,Gusau,2019-07-22,7,NGA
36,2019,21 July 2019,Riots,Rioters (Mali),Mali,12.65,-8.0,1,Bamako,2019-07-21,7,MLI
37,2019,21 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,11.9527,7.2682,10,Zango,2019-07-21,7,NGA
38,2019,20 July 2019,Violence against civilians,Fulani Ethnic Militia (Mali),Mali,14.5302,-3.0529,3,Kinde,2019-07-20,7,MLI
39,2019,20 July 2019,Violence against civilians,Zamfara Communal Militia (Nigeria),Nigeria,12.5898,6.5779,1,Kaura Namoda,2019-07-20,7,NGA
40,2019,20 July 2019,Protests,Protesters (Nigeria),Nigeria,12.1628,6.6614,0,Gusau,2019-07-20,7,NGA
41,2019,19 July 2019,Violence against civilians,JNIM: Group for Support of Islam and Muslims,Mali,15.0191,-4.2324,1,Dialloube,2019-07-19,7,MLI
42,2019,19 July 2019,Violence against civilians,Dozo Militia,Mali,13.4854,-3.7341,0,Boundouherou,2019-07-19,7,MLI
43,2019,19 July 2019,Strategic developments,Unidentified Armed Group (Mali),Mali,14.37,-3.966,0,Kassawan-Da,2019-07-19,7,MLI
44,2019,19 July 2019,Violence against civilians,Unidentified Armed Group (Mali),Mali,12.65,-8.0,0,Bamako,2019-07-19,7,MLI
45,2019,19 July 2019,Strategic developments,Zamfara Communal Militia (Nigeria),Nigeria,12.5592,6.8946,0,Birnin Magaji,2019-07-19,7,NGA
46,2019,19 July 2019,Strategic developments,Unidentified Armed Group (Nigeria),Nigeria,11.9583,7.377000000000001,0,Dan Birgima,2019-07-19,7,NGA
47,2019,19 July 2019,Protests,Protesters (Nigeria),Nigeria,6.2006,6.7339,0,Asaba,2019-07-19,7,NGA
48,2019,18 July 2019,Battles,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Mali,15.8581,1.3436,8,I-n-Kisman,2019-07-18,7,MLI
49,2019,18 July 2019,Protests,Protesters (Mali),Mali,16.2717,-0.0447,0,Gao,2019-07-18,7,MLI
50,2019,18 July 2019,Battles,Boko Haram - Wilayat Gharb Ifriqiyyah (Barnawi Faction),Nigeria,11.6608,14.045,6,Garno,2019-07-18,7,NGA
51,2019,18 July 2019,Battles,Boko Haram - Wilayat Gharb Ifriqiyyah (Barnawi Faction),Nigeria,11.6651,14.040999999999999,0,Jakana,2019-07-18,7,NGA
52,2019,18 July 2019,Protests,Protesters (Nigeria),Nigeria,5.1009,6.8141,0,Elele,2019-07-18,7,NGA
53,2019,18 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-18,7,NGA
54,2019,18 July 2019,Violence against civilians,Jukun Ethnic Militia (Nigeria),Nigeria,7.7167,9.9833,1,Damisa,2019-07-18,7,NGA
55,2019,18 July 2019,Violence against civilians,Jukun Ethnic Militia (Nigeria),Nigeria,7.7167,10.0167,0,Aketi,2019-07-18,7,NGA
56,2019,18 July 2019,Protests,Protesters (Nigeria),Nigeria,6.3351,5.6275,0,Benin City,2019-07-18,7,NGA
57,2019,18 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-18,7,NGA
58,2019,17 July 2019,Battles,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Mali,15.376,0.7561,10,Kamgala,2019-07-17,7,MLI
59,2019,17 July 2019,Riots,Rioters (Mali),Mali,18.44,1.41,0,Kidal,2019-07-17,7,MLI
60,2019,17 July 2019,Protests,Protesters (Mali),Mali,12.65,-8.0,0,Bamako,2019-07-17,7,MLI
61,2019,17 July 2019,Battles,Boko Haram - Wilayat Gharb Ifriqiyyah,Nigeria,11.8072,12.4909,21,Benisheikh,2019-07-17,7,NGA
62,2019,17 July 2019,Battles,Unidentified Armed Group (Nigeria),Nigeria,4.7748,7.5473,2,Ekeffe,2019-07-17,7,NGA
63,2019,17 July 2019,Protests,Protesters (Nigeria),Nigeria,5.5833,6.0333,0,Eriemu,2019-07-17,7,NGA
64,2019,17 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,7.2526,5.1931,0,Akure,2019-07-17,7,NGA
65,2019,17 July 2019,Protests,Protesters (Nigeria),Nigeria,5.5167,5.75,0,Warri,2019-07-17,7,NGA
66,2019,17 July 2019,Battles,Araromi Communal Militia (Nigeria),Nigeria,6.5972,4.492,2,Araromi-Obu,2019-07-17,7,NGA
67,2019,17 July 2019,Riots,Rioters (Nigeria),Nigeria,11.747,11.9608,0,Damaturu,2019-07-17,7,NGA
68,2019,17 July 2019,Protests,Protesters (Nigeria),Nigeria,4.7774,7.0134,0,Port Harcourt,2019-07-17,7,NGA
69,2019,17 July 2019,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah (Barnawi Faction),Nigeria,13.0977,12.4952,1,Damasak,2019-07-17,7,NGA
70,2019,17 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,13.3021,5.865,23,Kamitau,2019-07-17,7,NGA
71,2019,17 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,13.2949,5.8587,5,Ololi,2019-07-17,7,NGA
72,2019,17 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,13.2562,5.9191,1,Rujin Tsamia,2019-07-17,7,NGA
73,2019,16 July 2019,Protests,Protesters (Nigeria),Nigeria,6.8561,7.3927,0,Nsukka,2019-07-16,7,NGA
74,2019,16 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-16,7,NGA
75,2019,16 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-16,7,NGA
76,2019,16 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-16,7,NGA
77,2019,16 July 2019,Protests,Protesters (Nigeria),Nigeria,6.6674,9.1716,0,Obudu,2019-07-16,7,NGA
78,2019,15 July 2019,Battles,Dire Communal Militia (Mali),Mali,16.257,-3.4013,0,Dire,2019-07-15,7,MLI
79,2019,15 July 2019,Violence against civilians,Fulani Ethnic Militia (Mali),Mali,14.4138,-2.965,2,Gama,2019-07-15,7,MLI
80,2019,15 July 2019,Violence against civilians,Police Forces of Nigeria (2015-) Special Anti-Robbery Squad,Nigeria,7.5687,5.406000000000001,1,Ilupeju,2019-07-15,7,NGA
81,2019,15 July 2019,Protests,Protesters (Nigeria),Nigeria,7.6333,4.0333,0,Agoro Ibadan,2019-07-15,7,NGA
82,2019,15 July 2019,Protests,Protesters (Nigeria),Nigeria,10.5222,7.4383,0,Kaduna,2019-07-15,7,NGA
83,2019,15 July 2019,Violence against civilians,Jukun Ethnic Militia (Nigeria),Nigeria,7.5167,9.6167,4,Zaki Biam,2019-07-15,7,NGA
84,2019,14 July 2019,Violence against civilians,Unidentified Armed Group (Mali),Mali,16.3336,0.2761,1,Anchawadi,2019-07-14,7,MLI
85,2019,14 July 2019,Violence against civilians,JNIM: Group for Support of Islam and Muslims,Mali,14.33,-2.055,1,Dantao,2019-07-14,7,MLI
86,2019,14 July 2019,Violence against civilians,JNIM: Group for Support of Islam and Muslims,Mali,14.2793,-2.1354,1,Yoro,2019-07-14,7,MLI
87,2019,14 July 2019,Riots,Rioters (Mali),Mali,12.65,-8.0,0,Bamako,2019-07-14,7,MLI
88,2019,14 July 2019,Violence against civilians,Fulani Ethnic Militia (Nigeria),Nigeria,7.3167,3.5,1,Alabata,2019-07-14,7,NGA
89,2019,14 July 2019,Battles,Unidentified Armed Group (Nigeria),Nigeria,12.9604,8.3621,0,Safana,2019-07-14,7,NGA
90,2019,14 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,12.9604,8.3621,10,Safana,2019-07-14,7,NGA
91,2019,14 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,4.8907,6.9035,2,Choba,2019-07-14,7,NGA
92,2019,14 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,9.8734,7.9541,1,Kachia,2019-07-14,7,NGA
93,2019,14 July 2019,Violence against civilians,Fulani Ethnic Militia (Nigeria),Nigeria,6.1767,6.6284,1,Ibusa,2019-07-14,7,NGA
94,2019,13 July 2019,Violence against civilians,Unidentified Armed Group (Mali),Mali,16.2717,-0.0447,1,Gao,2019-07-13,7,MLI
95,2019,13 July 2019,Violence against civilians,Police Forces of Nigeria (2015-),Nigeria,7.4333,3.9167,1,Ibadan,2019-07-13,7,NGA
96,2019,13 July 2019,Riots,Rioters (Nigeria),Nigeria,7.4333,3.9167,0,Ibadan,2019-07-13,7,NGA
97,2019,13 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,10.2676,13.2644,1,Mubi,2019-07-13,7,NGA
98,2019,13 July 2019,Strategic developments,Sara-Suka Militia,Nigeria,10.3134,9.8433,0,Bauchi,2019-07-13,7,NGA
99,2019,13 July 2019,Strategic developments,COMAPEC-Mali: Coordination of Fulani Armed Movements in Central Mali,Mali,12.65,-8.0,0,Bamako,2019-07-13,7,MLI
100,2019,13 July 2019,Violence against civilians,Usumotong Communal Militia (Nigeria),Nigeria,5.7853,7.9929,2,Ebom,2019-07-13,7,NGA
101,2019,12 July 2019,Strategic developments,Platform of June 14th 2014 movements,Mali,15.9182,2.4022,0,Menaka,2019-07-12,7,MLI
102,2019,12 July 2019,Protests,Protesters (Mali),Mali,14.4417,-11.4341,0,Kayes,2019-07-12,7,MLI
103,2019,12 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,12.1628,6.6614,0,Gusau,2019-07-12,7,NGA
104,2019,12 July 2019,Battles,Ajah Communal Militia (Nigeria),Nigeria,6.4696,3.5629,10,Aja,2019-07-12,7,NGA
105,2019,11 July 2019,Violence against civilians,Unidentified Armed Group (Mali),Mali,16.2071,2.1911,7,Agare MBaou,2019-07-11,7,MLI
106,2019,11 July 2019,Explosions/Remote violence,JNIM: Group for Support of Islam and Muslims,Mali,18.44,1.41,0,Kidal,2019-07-11,7,MLI
107,2019,11 July 2019,Protests,Protesters (Nigeria),Nigeria,6.4531,3.3958,0,Lagos,2019-07-11,7,NGA
108,2019,11 July 2019,Riots,Rioters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-11,7,NGA
109,2019,11 July 2019,Protests,Protesters (Nigeria),Nigeria,6.4531,3.3958,0,Lagos,2019-07-11,7,NGA
110,2019,11 July 2019,Protests,Protesters (Nigeria),Nigeria,10.5222,7.4383,0,Kaduna,2019-07-11,7,NGA
111,2019,11 July 2019,Protests,Protesters (Nigeria),Nigeria,7.15,3.35,0,Abeokuta,2019-07-11,7,NGA
112,2019,11 July 2019,Protests,Protesters (Nigeria),Nigeria,5.4833,7.0304,0,Owerri,2019-07-11,7,NGA
113,2019,10 July 2019,Explosions/Remote violence,Military Forces of Mali (2013-),Mali,14.5588,-3.3889,0,Kani-Gogouna,2019-07-10,7,MLI
114,2019,10 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,9.2833,12.4667,0,Jimeta,2019-07-10,7,NGA
115,2019,10 July 2019,Battles,Obudu Communal Militia (Nigeria),Nigeria,6.6674,9.1716,5,Obudu,2019-07-10,7,NGA
116,2019,10 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-10,7,NGA
117,2019,10 July 2019,Protests,Protesters (Nigeria),Nigeria,7.2526,5.1931,0,Akure,2019-07-10,7,NGA
118,2019,10 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,8.9722,11.2543,4,Murbai,2019-07-10,7,NGA
119,2019,10 July 2019,Protests,Protesters (Nigeria),Nigeria,6.2006,6.7339,0,Asaba,2019-07-10,7,NGA
120,2019,09 July 2019,Battles,JNIM: Group for Support of Islam and Muslims,Mali,14.5378,-8.5661,0,Dioumara Koussata,2019-07-09,7,MLI
121,2019,09 July 2019,Battles,IM: Islamic Movement,Nigeria,9.0833,7.5333,2,Abuja,2019-07-09,7,NGA
122,2019,09 July 2019,Battles,Police Forces of Nigeria (2015-),Nigeria,4.8708,6.9807,3,Nkpolu,2019-07-09,7,NGA
123,2019,09 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,10.0824,6.7405,2,Irina,2019-07-09,7,NGA
124,2019,08 July 2019,Explosions/Remote violence,JNIM: Group for Support of Islam and Muslims,Mali,18.44,1.41,0,Kidal,2019-07-08,7,MLI
125,2019,08 July 2019,Violence against civilians,Dan Na Ambassagou,Mali,14.9951,-2.9517,1,Douentza,2019-07-08,7,MLI
126,2019,08 July 2019,Protests,Protesters (Nigeria),Nigeria,6.6096,3.3566,0,Alausa,2019-07-08,7,NGA
127,2019,08 July 2019,Protests,Protesters (Nigeria),Nigeria,6.8219,3.4515,0,Loburo,2019-07-08,7,NGA
128,2019,08 July 2019,Riots,Rioters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-08,7,NGA
129,2019,08 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,5.1361,7.1357,0,Okehi,2019-07-08,7,NGA
130,2019,08 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,10.0824,6.7405,3,Irina,2019-07-08,7,NGA
131,2019,08 July 2019,Riots,Rioters (Nigeria),Nigeria,6.4333,3.85,1,Badore,2019-07-08,7,NGA
132,2019,07 July 2019,Battles,Military Forces of Nigeria (2015-),Nigeria,11.213,6.9083,1,Sabon Kuyelo,2019-07-07,7,NGA
133,2019,07 July 2019,Strategic developments,Fulani Ethnic Militia (Nigeria),Nigeria,6.3152,6.4741,0,Issele-Uku,2019-07-07,7,NGA
134,2019,07 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,6.3224,6.8902,0,Aguleri,2019-07-07,7,NGA
135,2019,07 July 2019,Riots,Rioters (Nigeria),Nigeria,7.3353,5.1981,0,Irese,2019-07-07,7,NGA
136,2019,07 July 2019,Battles,Unidentified Armed Group (Nigeria),Nigeria,11.9663,7.216,11,Dan Sabo,2019-07-07,7,NGA
137,2019,06 July 2019,Battles,Unidentified Armed Group (Mali),Mali,16.257,-3.4013,2,Dire,2019-07-06,7,MLI
138,2019,06 July 2019,Explosions/Remote violence,JNIM: Group for Support of Islam and Muslims,Mali,16.5924,-4.4596,0,Razelma,2019-07-06,7,MLI
139,2019,06 July 2019,Explosions/Remote violence,Military Forces of Nigeria (2015-),Nigeria,12.6786,13.6079,10,Monguno,2019-07-06,7,NGA
140,2019,06 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,11.9806,7.314,2,Pauwa,2019-07-06,7,NGA
141,2019,06 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,12.4233,6.7983,2,Makera,2019-07-06,7,NGA
142,2019,06 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,11.9663,7.216,2,Dan Sabo,2019-07-06,7,NGA
143,2019,05 July 2019,Battles,Unidentified Armed Group (Mali),Mali,15.4241,0.741,0,Youni,2019-07-05,7,MLI
144,2019,05 July 2019,Violence against civilians,JNIM: Group for Support of Islam and Muslims,Mali,15.0191,-4.2324,1,Dialloube,2019-07-05,7,MLI
145,2019,05 July 2019,Protests,Protesters (Mali),Mali,14.0778,-3.0832,0,Koro,2019-07-05,7,MLI
146,2019,05 July 2019,Riots,Rioters (Mali),Mali,12.6235,-7.9838,0,Badalabougou,2019-07-05,7,MLI
147,2019,05 July 2019,Protests,Protesters (Mauritania),Mauritania,18.1194,-16.0406,0,Nouakchott,2019-07-05,7,MRT
148,2019,05 July 2019,Strategic developments,Zamfara Communal Militia (Nigeria),Nigeria,12.1628,6.6614,0,Gusau,2019-07-05,7,NGA
149,2019,05 July 2019,Protests,Protesters (Nigeria),Nigeria,6.2658,6.5973,0,Issele-Azagba,2019-07-05,7,NGA
150,2019,05 July 2019,Protests,Protesters (Nigeria),Nigeria,5.5167,5.75,0,Warri,2019-07-05,7,NGA
151,2019,05 July 2019,Strategic developments,Police Forces of Nigeria (2015-),Nigeria,6.2129,6.9642,0,Ukpo-Akpu,2019-07-05,7,NGA
152,2019,04 July 2019,Battles,Militia (Students),Mali,12.6235,-7.9838,1,Badalabougou,2019-07-04,7,MLI
153,2019,04 July 2019,Protests,Protesters (Nigeria),Nigeria,9.6139,6.5569,0,Minna,2019-07-04,7,NGA
154,2019,04 July 2019,Protests,Protesters (Nigeria),Nigeria,6.4531,3.3958,0,Lagos,2019-07-04,7,NGA
155,2019,03 July 2019,Battles,JNIM: Group for Support of Islam and Muslims,Mali,12.1008,-4.6909,0,Sona,2019-07-03,7,MLI
156,2019,03 July 2019,Battles,Fulani Ethnic Militia (Mali),Mali,14.182,-2.6574,0,Sobangouma,2019-07-03,7,MLI
157,2019,03 July 2019,Strategic developments,Fulani Ethnic Militia (Nigeria),Nigeria,5.4927,6.8149,0,Obokofia Plantation,2019-07-03,7,NGA
158,2019,03 July 2019,Protests,Protesters (Nigeria),Nigeria,5.5546,5.7862,0,Effurun,2019-07-03,7,NGA
159,2019,03 July 2019,Protests,Protesters (Nigeria),Nigeria,7.7667,4.5667,0,Oshogbo,2019-07-03,7,NGA
160,2019,03 July 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-07-03,7,NGA
161,2019,03 July 2019,Protests,Protesters (Nigeria),Nigeria,7.4333,3.9167,0,Ibadan,2019-07-03,7,NGA
162,2019,03 July 2019,Protests,Protesters (Nigeria),Nigeria,4.8907,6.9035,0,Choba,2019-07-03,7,NGA
163,2019,03 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,11.3948,7.3578,9,Ungwan Rabo,2019-07-03,7,NGA
164,2019,03 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,12.2681,7.3039,6,Ungwan Maganda,2019-07-03,7,NGA
165,2019,03 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,12.2541,7.2944,2,Dutsin Dadi,2019-07-03,7,NGA
166,2019,02 July 2019,Violence against civilians,Dan Na Ambassagou,Mali,15.1539,-2.6748,6,Diayel,2019-07-02,7,MLI
167,2019,02 July 2019,Violence against civilians,Fulani Ethnic Militia (Mali),Mali,14.4138,-2.965,1,Gawa,2019-07-02,7,MLI
168,2019,02 July 2019,Violence against civilians,Unidentified Armed Group (Mali),Mali,16.1506,1.4277,0,I-n-Deliman,2019-07-02,7,MLI
169,2019,02 July 2019,Protests,Protesters (Nigeria),Nigeria,4.3417,6.644,0,Kula,2019-07-02,7,NGA
170,2019,02 July 2019,Protests,Protesters (Nigeria),Nigeria,4.9667,8.3333,0,Calabar,2019-07-02,7,NGA
171,2019,02 July 2019,Protests,Protesters (Nigeria),Nigeria,6.4531,3.3958,0,Lagos,2019-07-02,7,NGA
172,2019,02 July 2019,Explosions/Remote violence,Military Forces of Nigeria (2015-),Nigeria,11.686,6.8239,20,Munhaye,2019-07-02,7,NGA
173,2019,02 July 2019,Battles,Boko Haram - Wilayat Gharb Ifriqiyyah (Barnawi Faction),Nigeria,12.1943,13.1017,0,Gajigana,2019-07-02,7,NGA
174,2019,02 July 2019,Battles,Military Forces of Nigeria (2015-),Nigeria,11.7667,6.2,10,Bawa,2019-07-02,7,NGA
175,2019,01 July 2019,Violence against civilians,Unidentified Armed Group (Mali),Mali,14.1323,-3.6921,0,Dogo-Do,2019-07-01,7,MLI
176,2019,01 July 2019,Strategic developments,MSA: Movement for Azawad Salvation (CME),Mali,14.5297,-4.0922,0,Sevare,2019-07-01,7,MLI
177,2019,01 July 2019,Strategic developments,Dozo Militia,Mali,13.8169,-4.3419,0,Siragourou,2019-07-01,7,MLI
178,2019,01 July 2019,Battles,Police Forces of Nigeria (2015-),Nigeria,5.0041,6.2587,4,Agudama,2019-07-01,7,NGA
179,2019,01 July 2019,Riots,Rioters (Nigeria),Nigeria,5.5659,7.3988,0,Umuoke,2019-07-01,7,NGA
180,2019,01 July 2019,Violence against civilians,Police Forces of Nigeria (2015-),Nigeria,5.5659,7.3988,1,Umuoke,2019-07-01,7,NGA
181,2019,01 July 2019,Protests,Protesters (Nigeria),Nigeria,8.8833,11.3667,0,Jalingo,2019-07-01,7,NGA
182,2019,01 July 2019,Violence against civilians,Unidentified Armed Group (Nigeria),Nigeria,6.8879,9.2355,1,Adikpo,2019-07-01,7,NGA
183,2019,01 July 2019,Protests,Protesters (Nigeria),Nigeria,5.5263,7.4896,0,Umuahia,2019-07-01,7,NGA
184,2019,30 June 2019,Violence against civilians,Dan Na Ambassagou,Mali,13.4251,-3.9173,25,Saran,2019-06-30,6,MLI
185,2019,30 June 2019,Strategic developments,Dan Na Ambassagou,Mali,13.4672,-3.9183,0,Bidi,2019-06-30,6,MLI
186,2019,30 June 2019,Strategic developments,Dan Na Ambassagou,Mali,13.5011,-3.8838,0,Sankoro,2019-06-30,6,MLI
187,2019,30 June 2019,Violence against civilians,Dan Na Ambassagou,Mali,15.062000000000001,-2.7898,4,Gono,2019-06-30,6,MLI
188,2019,30 June 2019,Violence against civilians,Military Forces of Mali (2013-),Mali,14.9951,-2.9517,0,Douentza,2019-06-30,6,MLI
189,2019,30 June 2019,Strategic developments,Dan Na Ambassagou,Mali,14.9951,-2.9517,0,Douentza,2019-06-30,6,MLI
190,2019,30 June 2019,Strategic developments,Dozo Militia,Mali,13.4285,-6.2166,0,Pelengana,2019-06-30,6,MLI
191,2019,30 June 2019,Violence against civilians,Dozo Militia,Mali,14.2846,-4.0647,1,Somadougou,2019-06-30,6,MLI
192,2019,30 June 2019,Explosions/Remote violence,JNIM: Group for Support of Islam and Muslims,Mali,14.2793,-2.1354,10,Yoro,2019-06-30,6,MLI
193,2019,30 June 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-06-30,6,NGA
194,2019,30 June 2019,Protests,Protesters (Nigeria),Nigeria,9.0833,7.5333,0,Abuja,2019-06-30,6,NGA
195,2019,30 June 2019,Riots,Rioters (Nigeria),Nigeria,11.8464,13.1603,0,Maiduguri,2019-06-30,6,NGA
196,2019,30 June 2019,Violence against civilians,Civilian JTF: Civilian Joint Task Force,Nigeria,11.8464,13.1603,1,Maiduguri,2019-06-30,6,NGA
197,2019,30 June 2019,Riots,Rioters (Nigeria),Nigeria,11.9302,7.4127,0,Kankara,2019-06-30,6,NGA
198,2019,30 June 2019,Battles,Agbaduma Communal Militia (Nigeria),Nigeria,7.8677,8.0949,25,Okokolo,2019-06-30,6,NGA
199,2019,30 June 2019,Riots,Rioters (Nigeria),Nigeria,7.7411,8.5121,0,Makurdi,2019-06-30,6,NGA
200,2019,30 June 2019,Battles,Military Forces of Nigeria (2015-),Nigeria,11.084000000000001,13.6925,2,Gwoza,2019-06-30,6,NGA
