,Area,Item,Year,Unit,Value,Element,Flag
25,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2007,I$ per person,88,Value,F
26,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2008,I$ per person,92,Value,F
27,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2009,I$ per person,103,Value,F
28,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2010,I$ per person,119,Value,F
29,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2011,I$ per person,111,Value,F
30,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2012,I$ per person,104,Value,F
31,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2013,I$ per person,92,Value,F
32,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2014,I$ per person,94,Value,F
33,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2015,I$ per person,100,Value,F
34,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2016,I$ per person,103,Value,F
35,Senegal,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2017,I$ per person,71,Value,F
36,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2001,%,61,Value,F
37,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2002,%,61,Value,F
38,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2003,%,62,Value,F
39,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2004,%,63,Value,F
40,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2005,%,63,Value,F
41,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2006,%,63,Value,F
42,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2007,%,63,Value,F
43,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2008,%,63,Value,F
44,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2009,%,62,Value,F
45,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2010,%,60,Value,F
46,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2011,%,60,Value,F
47,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2012,%,60,Value,F
48,Senegal,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2013,%,61,Value,F
49,Senegal,Average protein supply (g/cap/day) (3-year average),2001,g/capita/day,58,Value,F
50,Senegal,Average protein supply (g/cap/day) (3-year average),2002,g/capita/day,55.6,Value,F
51,Senegal,Average protein supply (g/cap/day) (3-year average),2003,g/capita/day,53.7,Value,F
52,Senegal,Average protein supply (g/cap/day) (3-year average),2004,g/capita/day,54.4,Value,F
53,Senegal,Average protein supply (g/cap/day) (3-year average),2005,g/capita/day,56,Value,F
54,Senegal,Average protein supply (g/cap/day) (3-year average),2006,g/capita/day,57,Value,F
55,Senegal,Average protein supply (g/cap/day) (3-year average),2007,g/capita/day,57.7,Value,F
56,Senegal,Average protein supply (g/cap/day) (3-year average),2008,g/capita/day,58.7,Value,F
57,Senegal,Average protein supply (g/cap/day) (3-year average),2009,g/capita/day,59.7,Value,F
58,Senegal,Average protein supply (g/cap/day) (3-year average),2010,g/capita/day,60.3,Value,F
59,Senegal,Average protein supply (g/cap/day) (3-year average),2011,g/capita/day,60,Value,F
60,Senegal,Average protein supply (g/cap/day) (3-year average),2012,g/capita/day,59.3,Value,F
61,Senegal,Average protein supply (g/cap/day) (3-year average),2013,g/capita/day,58.7,Value,F
62,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2001,g/capita/day,17,Value,F
63,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2002,g/capita/day,16,Value,F
64,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2003,g/capita/day,16,Value,F
65,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2004,g/capita/day,16,Value,F
66,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2005,g/capita/day,16,Value,F
67,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2006,g/capita/day,16,Value,F
68,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2007,g/capita/day,15,Value,F
69,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2008,g/capita/day,15,Value,F
70,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2009,g/capita/day,16,Value,F
71,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2010,g/capita/day,16,Value,F
72,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2011,g/capita/day,16,Value,F
73,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2012,g/capita/day,16,Value,F
74,Senegal,Average supply of protein of animal origin (g/cap/day) (3-year average),2013,g/capita/day,15,Value,F
75,Senegal,Rail lines density (total route in km per 100 square km of land area),2000,per 100 square km of land area,0.5,Value,X
76,Senegal,Rail lines density (total route in km per 100 square km of land area),2001,per 100 square km of land area,0.5,Value,X
77,Senegal,Rail lines density (total route in km per 100 square km of land area),2002,per 100 square km of land area,0.5,Value,X
78,Senegal,Rail lines density (total route in km per 100 square km of land area),2003,per 100 square km of land area,0.5,Value,X
79,Senegal,Rail lines density (total route in km per 100 square km of land area),2004,per 100 square km of land area,0.5,Value,X
80,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2000,I$,2417.8,Value,X
81,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2001,I$,2468.5,Value,X
82,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2002,I$,2424.9,Value,X
83,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2003,I$,2523.7,Value,X
84,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2004,I$,2605.4,Value,X
85,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2005,I$,2682.4,Value,X
86,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2006,I$,2677.9,Value,X
87,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2007,I$,2736.9,Value,X
88,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2008,I$,2772.6,Value,X
89,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2009,I$,2754.8,Value,X
90,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2010,I$,2775.7,Value,X
91,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2011,I$,2739.3,Value,X
92,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2012,I$,2800.4,Value,X
93,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2013,I$,2800,Value,X
94,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2014,I$,2902.5,Value,X
95,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2015,I$,3001.8,Value,X
96,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2016,I$,3104.2,Value,X
97,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2017,I$,3232.3,Value,X
98,Senegal,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2018,I$,3356.3,Value,X
99,Senegal,Prevalence of undernourishment (percent) (3-year average),2001,%,28.7,Value,F
100,Senegal,Prevalence of undernourishment (percent) (3-year average),2002,%,27.6,Value,F
101,Senegal,Prevalence of undernourishment (percent) (3-year average),2003,%,26.7,Value,F
102,Senegal,Prevalence of undernourishment (percent) (3-year average),2004,%,25.2,Value,F
103,Senegal,Prevalence of undernourishment (percent) (3-year average),2005,%,23.4,Value,F
104,Senegal,Prevalence of undernourishment (percent) (3-year average),2006,%,21.6,Value,F
105,Senegal,Prevalence of undernourishment (percent) (3-year average),2007,%,19.2,Value,F
106,Senegal,Prevalence of undernourishment (percent) (3-year average),2008,%,16.9,Value,F
107,Senegal,Prevalence of undernourishment (percent) (3-year average),2009,%,14.7,Value,F
108,Senegal,Prevalence of undernourishment (percent) (3-year average),2010,%,13.6,Value,F
109,Senegal,Prevalence of undernourishment (percent) (3-year average),2011,%,13.1,Value,F
110,Senegal,Prevalence of undernourishment (percent) (3-year average),2012,%,13.1,Value,F
111,Senegal,Prevalence of undernourishment (percent) (3-year average),2013,%,13.3,Value,F
112,Senegal,Prevalence of undernourishment (percent) (3-year average),2014,%,13.5,Value,F
113,Senegal,Prevalence of undernourishment (percent) (3-year average),2015,%,13.4,Value,F
114,Senegal,Prevalence of undernourishment (percent) (3-year average),2016,%,13,Value,F
115,Senegal,Prevalence of undernourishment (percent) (3-year average),2017,%,12,Value,F
116,Senegal,Prevalence of undernourishment (percent) (3-year average),2018,%,11.3,Value,F
117,Senegal,Number of people undernourished (million) (3-year average),2001,millions,2.8,Value,F
118,Senegal,Number of people undernourished (million) (3-year average),2002,millions,2.8,Value,F
119,Senegal,Number of people undernourished (million) (3-year average),2003,millions,2.8,Value,F
120,Senegal,Number of people undernourished (million) (3-year average),2004,millions,2.7,Value,F
121,Senegal,Number of people undernourished (million) (3-year average),2005,millions,2.6,Value,F
122,Senegal,Number of people undernourished (million) (3-year average),2006,millions,2.4,Value,F
123,Senegal,Number of people undernourished (million) (3-year average),2007,millions,2.2,Value,F
124,Senegal,Number of people undernourished (million) (3-year average),2008,millions,2,Value,F
125,Senegal,Number of people undernourished (million) (3-year average),2009,millions,1.8,Value,F
126,Senegal,Number of people undernourished (million) (3-year average),2010,millions,1.7,Value,F
127,Senegal,Number of people undernourished (million) (3-year average),2011,millions,1.7,Value,F
128,Senegal,Number of people undernourished (million) (3-year average),2012,millions,1.7,Value,F
129,Senegal,Number of people undernourished (million) (3-year average),2013,millions,1.8,Value,F
130,Senegal,Number of people undernourished (million) (3-year average),2014,millions,1.9,Value,F
131,Senegal,Number of people undernourished (million) (3-year average),2015,millions,1.9,Value,F
132,Senegal,Number of people undernourished (million) (3-year average),2016,millions,1.9,Value,F
133,Senegal,Number of people undernourished (million) (3-year average),2017,millions,1.9,Value,F
134,Senegal,Number of people undernourished (million) (3-year average),2018,millions,1.8,Value,F
135,Senegal,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,%,,Value,NR
136,Senegal,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,%,,Value,NR
137,Senegal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2016,%,,Value,NR
138,Senegal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2018,%,,Value,NR
139,Senegal,Number of severely food insecure people (million) (3-year average),2016,millions,,Value,NR
140,Senegal,Number of severely food insecure people (million) (3-year average),2018,millions,,Value,NR
141,Senegal,Number of moderately or severely food insecure people (million) (3-year average),2016,millions,,Value,NR
142,Senegal,Number of moderately or severely food insecure people (million) (3-year average),2018,millions,,Value,NR
143,Senegal,Cereal import dependency ratio (percent) (3-year average),2001,%,48.9,Value,F
144,Senegal,Cereal import dependency ratio (percent) (3-year average),2002,%,53.1,Value,F
145,Senegal,Cereal import dependency ratio (percent) (3-year average),2003,%,58,Value,F
146,Senegal,Cereal import dependency ratio (percent) (3-year average),2004,%,58,Value,F
147,Senegal,Cereal import dependency ratio (percent) (3-year average),2005,%,58.1,Value,F
148,Senegal,Cereal import dependency ratio (percent) (3-year average),2006,%,54.7,Value,F
149,Senegal,Cereal import dependency ratio (percent) (3-year average),2007,%,58.8,Value,F
150,Senegal,Cereal import dependency ratio (percent) (3-year average),2008,%,58.5,Value,F
151,Senegal,Cereal import dependency ratio (percent) (3-year average),2009,%,57.4,Value,F
152,Senegal,Cereal import dependency ratio (percent) (3-year average),2010,%,51,Value,F
153,Senegal,Cereal import dependency ratio (percent) (3-year average),2011,%,47.9,Value,F
154,Senegal,Cereal import dependency ratio (percent) (3-year average),2012,%,51.7,Value,F
155,Senegal,Cereal import dependency ratio (percent) (3-year average),2013,%,56.2,Value,F
156,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2001,%,3.2,Value,F
157,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2002,%,3.6,Value,F
158,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2003,%,3.9,Value,F
159,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2004,%,4,Value,F
160,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2005,%,4,Value,F
161,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2006,%,4,Value,F
162,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2007,%,4.1,Value,F
163,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2008,%,3.9,Value,F
164,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2009,%,3.5,Value,F
165,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2010,%,3.2,Value,F
166,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2011,%,3.3,Value,F
167,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2012,%,3.5,Value,F
168,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2013,%,3.7,Value,F
169,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2014,%,3.7,Value,F
170,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2015,%,3.8,Value,F
171,Senegal,Percent of arable land equipped for irrigation (percent) (3-year average),2016,%,3.8,Value,F
172,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2001,%,54,Value,F
173,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2002,%,51,Value,F
174,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2003,%,54,Value,F
175,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2004,%,55,Value,F
176,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2005,%,57,Value,F
177,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2006,%,60,Value,F
178,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2007,%,65,Value,F
179,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2008,%,73,Value,F
180,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2009,%,69,Value,F
181,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2010,%,61,Value,F
182,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2011,%,55,Value,F
183,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2012,%,57,Value,F
184,Senegal,Value of food imports in total merchandise exports (percent) (3-year average),2013,%,58,Value,F
185,Senegal,Political stability and absence of violence/terrorism (index),2000,index,-0.59,Value,X
186,Senegal,Political stability and absence of violence/terrorism (index),2002,index,-0.27,Value,X
187,Senegal,Political stability and absence of violence/terrorism (index),2003,index,-0.25,Value,X
188,Senegal,Political stability and absence of violence/terrorism (index),2004,index,0.03,Value,X
189,Senegal,Political stability and absence of violence/terrorism (index),2005,index,-0.2,Value,X
190,Senegal,Political stability and absence of violence/terrorism (index),2006,index,-0.26,Value,X
191,Senegal,Political stability and absence of violence/terrorism (index),2007,index,-0.24,Value,X
192,Senegal,Political stability and absence of violence/terrorism (index),2008,index,-0.15,Value,X
193,Senegal,Political stability and absence of violence/terrorism (index),2009,index,-0.2,Value,X
194,Senegal,Political stability and absence of violence/terrorism (index),2010,index,-0.42,Value,X
195,Senegal,Political stability and absence of violence/terrorism (index),2011,index,-0.28,Value,X
196,Senegal,Political stability and absence of violence/terrorism (index),2012,index,-0.11,Value,X
197,Senegal,Political stability and absence of violence/terrorism (index),2013,index,-0.06,Value,X
198,Senegal,Political stability and absence of violence/terrorism (index),2014,index,-0.2,Value,X
199,Senegal,Political stability and absence of violence/terrorism (index),2015,index,-0.12,Value,X
200,Senegal,Political stability and absence of violence/terrorism (index),2016,index,-0.22,Value,X
201,Senegal,Political stability and absence of violence/terrorism (index),2017,index,-0.04,Value,X
202,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2000,1000 I$,14.4,Value,F
203,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2001,1000 I$,16.2,Value,F
204,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2002,1000 I$,16,Value,F
205,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2003,1000 I$,21.2,Value,F
206,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2004,1000 I$,20,Value,F
207,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2005,1000 I$,17.3,Value,F
208,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2006,1000 I$,14.8,Value,F
209,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2007,1000 I$,12.9,Value,F
210,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2008,1000 I$,10.6,Value,F
211,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2009,1000 I$,14.1,Value,F
212,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2010,1000 I$,17.6,Value,F
213,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2011,1000 I$,21,Value,F
214,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2012,1000 I$,21.5,Value,F
215,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2013,1000 I$,16.7,Value,F
216,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2014,1000 I$,18.4,Value,F
217,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2015,1000 I$,16.7,Value,F
218,Senegal,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2016,1000 I$,10.3,Value,F
219,Senegal,Per capita food supply variability (kcal/cap/day),2000,kcal/capita/day,32,Value,F
220,Senegal,Per capita food supply variability (kcal/cap/day),2001,kcal/capita/day,12,Value,F
221,Senegal,Per capita food supply variability (kcal/cap/day),2002,kcal/capita/day,12,Value,F
222,Senegal,Per capita food supply variability (kcal/cap/day),2003,kcal/capita/day,26,Value,F
223,Senegal,Per capita food supply variability (kcal/cap/day),2004,kcal/capita/day,27,Value,F
224,Senegal,Per capita food supply variability (kcal/cap/day),2005,kcal/capita/day,25,Value,F
225,Senegal,Per capita food supply variability (kcal/cap/day),2006,kcal/capita/day,25,Value,F
226,Senegal,Per capita food supply variability (kcal/cap/day),2007,kcal/capita/day,29,Value,F
227,Senegal,Per capita food supply variability (kcal/cap/day),2008,kcal/capita/day,21,Value,F
228,Senegal,Per capita food supply variability (kcal/cap/day),2009,kcal/capita/day,46,Value,F
229,Senegal,Per capita food supply variability (kcal/cap/day),2010,kcal/capita/day,51,Value,F
230,Senegal,Per capita food supply variability (kcal/cap/day),2011,kcal/capita/day,34,Value,F
231,Senegal,Per capita food supply variability (kcal/cap/day),2012,kcal/capita/day,35,Value,F
232,Senegal,Per capita food supply variability (kcal/cap/day),2013,kcal/capita/day,39,Value,F
233,Senegal,Percentage of population using at least basic drinking water services (percent),2000,%,61.6,Value,X
234,Senegal,Percentage of population using at least basic drinking water services (percent),2001,%,62.5,Value,X
235,Senegal,Percentage of population using at least basic drinking water services (percent),2002,%,63.4,Value,X
236,Senegal,Percentage of population using at least basic drinking water services (percent),2003,%,64.3,Value,X
237,Senegal,Percentage of population using at least basic drinking water services (percent),2004,%,65.3,Value,X
238,Senegal,Percentage of population using at least basic drinking water services (percent),2005,%,66.2,Value,X
239,Senegal,Percentage of population using at least basic drinking water services (percent),2006,%,67.1,Value,X
240,Senegal,Percentage of population using at least basic drinking water services (percent),2007,%,68,Value,X
241,Senegal,Percentage of population using at least basic drinking water services (percent),2008,%,68.9,Value,X
242,Senegal,Percentage of population using at least basic drinking water services (percent),2009,%,69.8,Value,X
243,Senegal,Percentage of population using at least basic drinking water services (percent),2010,%,70.7,Value,X
244,Senegal,Percentage of population using at least basic drinking water services (percent),2011,%,71.6,Value,X
245,Senegal,Percentage of population using at least basic drinking water services (percent),2012,%,72.5,Value,X
246,Senegal,Percentage of population using at least basic drinking water services (percent),2013,%,73.4,Value,X
247,Senegal,Percentage of population using at least basic drinking water services (percent),2014,%,74.3,Value,X
248,Senegal,Percentage of population using at least basic drinking water services (percent),2015,%,75.2,Value,X
249,Senegal,Percentage of population using safely managed sanitation services (Percent),2000,%,17.6,Value,X
250,Senegal,Percentage of population using safely managed sanitation services (Percent),2001,%,18,Value,X
251,Senegal,Percentage of population using safely managed sanitation services (Percent),2002,%,18.5,Value,X
252,Senegal,Percentage of population using safely managed sanitation services (Percent),2003,%,18.9,Value,X
253,Senegal,Percentage of population using safely managed sanitation services (Percent),2004,%,19.3,Value,X
254,Senegal,Percentage of population using safely managed sanitation services (Percent),2005,%,19.7,Value,X
255,Senegal,Percentage of population using safely managed sanitation services (Percent),2006,%,20.2,Value,X
256,Senegal,Percentage of population using safely managed sanitation services (Percent),2007,%,20.6,Value,X
257,Senegal,Percentage of population using safely managed sanitation services (Percent),2008,%,21,Value,X
258,Senegal,Percentage of population using safely managed sanitation services (Percent),2009,%,21.4,Value,X
259,Senegal,Percentage of population using safely managed sanitation services (Percent),2010,%,21.9,Value,X
260,Senegal,Percentage of population using safely managed sanitation services (Percent),2011,%,22.3,Value,X
261,Senegal,Percentage of population using safely managed sanitation services (Percent),2012,%,22.8,Value,X
262,Senegal,Percentage of population using safely managed sanitation services (Percent),2013,%,23.2,Value,X
263,Senegal,Percentage of population using safely managed sanitation services (Percent),2014,%,23.7,Value,X
264,Senegal,Percentage of population using safely managed sanitation services (Percent),2015,%,24.1,Value,X
265,Senegal,Percentage of population using at least basic sanitation services (percent),2000,%,38.5,Value,X
266,Senegal,Percentage of population using at least basic sanitation services (percent),2001,%,39.1,Value,X
267,Senegal,Percentage of population using at least basic sanitation services (percent),2002,%,39.8,Value,X
268,Senegal,Percentage of population using at least basic sanitation services (percent),2003,%,40.4,Value,X
269,Senegal,Percentage of population using at least basic sanitation services (percent),2004,%,41.1,Value,X
270,Senegal,Percentage of population using at least basic sanitation services (percent),2005,%,41.7,Value,X
271,Senegal,Percentage of population using at least basic sanitation services (percent),2006,%,42.4,Value,X
272,Senegal,Percentage of population using at least basic sanitation services (percent),2007,%,43,Value,X
273,Senegal,Percentage of population using at least basic sanitation services (percent),2008,%,43.7,Value,X
274,Senegal,Percentage of population using at least basic sanitation services (percent),2009,%,44.3,Value,X
275,Senegal,Percentage of population using at least basic sanitation services (percent),2010,%,45,Value,X
276,Senegal,Percentage of population using at least basic sanitation services (percent),2011,%,45.7,Value,X
277,Senegal,Percentage of population using at least basic sanitation services (percent),2012,%,46.3,Value,X
278,Senegal,Percentage of population using at least basic sanitation services (percent),2013,%,47,Value,X
279,Senegal,Percentage of population using at least basic sanitation services (percent),2014,%,47.7,Value,X
280,Senegal,Percentage of population using at least basic sanitation services (percent),2015,%,48.4,Value,X
281,Senegal,Percentage of children under 5 years affected by wasting (percent),2000,%,10,Value,X
282,Senegal,Percentage of children under 5 years affected by wasting (percent),2005,%,8.7,Value,X
283,Senegal,Percentage of children under 5 years affected by wasting (percent),2011,%,9.8,Value,X
284,Senegal,Percentage of children under 5 years affected by wasting (percent),2012,%,8.7,Value,X
285,Senegal,Percentage of children under 5 years affected by wasting (percent),2013,%,8.9,Value,X
286,Senegal,Percentage of children under 5 years affected by wasting (percent),2014,%,5.8,Value,X
287,Senegal,Percentage of children under 5 years affected by wasting (percent),2015,%,7.8,Value,X
288,Senegal,Percentage of children under 5 years affected by wasting (percent),2016,%,7.2,Value,X
289,Senegal,Percentage of children under 5 years of age who are stunted (percent),2000,%,29.5,Value,X
290,Senegal,Percentage of children under 5 years of age who are stunted (percent),2005,%,20.1,Value,X
291,Senegal,Percentage of children under 5 years of age who are stunted (percent),2011,%,28.7,Value,X
292,Senegal,Percentage of children under 5 years of age who are stunted (percent),2012,%,15.5,Value,X
293,Senegal,Percentage of children under 5 years of age who are stunted (percent),2013,%,19.2,Value,X
294,Senegal,Percentage of children under 5 years of age who are stunted (percent),2014,%,19.4,Value,X
295,Senegal,Percentage of children under 5 years of age who are stunted (percent),2015,%,20.5,Value,X
296,Senegal,Percentage of children under 5 years of age who are stunted (percent),2016,%,17,Value,X
297,Senegal,Percentage of children under 5 years of age who are overweight (percent),2000,%,3.2,Value,X
298,Senegal,Percentage of children under 5 years of age who are overweight (percent),2005,%,2.4,Value,X
299,Senegal,Percentage of children under 5 years of age who are overweight (percent),2011,%,2.8,Value,X
300,Senegal,Percentage of children under 5 years of age who are overweight (percent),2012,%,0.7,Value,X
301,Senegal,Percentage of children under 5 years of age who are overweight (percent),2013,%,1.5,Value,X
302,Senegal,Percentage of children under 5 years of age who are overweight (percent),2014,%,1.3,Value,X
303,Senegal,Percentage of children under 5 years of age who are overweight (percent),2015,%,1,Value,X
304,Senegal,Percentage of children under 5 years of age who are overweight (percent),2016,%,0.9,Value,X
305,Senegal,Prevalence of obesity in the adult population (18 years and older),2000,%,3.8,Value,X
306,Senegal,Prevalence of obesity in the adult population (18 years and older),2001,%,4,Value,X
307,Senegal,Prevalence of obesity in the adult population (18 years and older),2002,%,4.1,Value,X
308,Senegal,Prevalence of obesity in the adult population (18 years and older),2003,%,4.3,Value,X
